id,keyword,answer,sentence,options,answer
1,哀,（1）哀鸣,风急天高猿啸哀（《登高》）,（1）哀鸣；（2）哀叹；（3）声音凄清尖利地；（4）同情；（5）为……悲哀,（2）哀叹
2,哀,（1）哀鸣,未至二三里，摧藏马悲哀（《孔雀东南飞并序》）,（1）哀鸣；（2）哀叹；（3）声音凄清尖利地；（4）同情；（5）为……悲哀,（3）声音凄清尖利地
3,哀,（2）哀叹,哀吾生之须臾，羡长江之无穷（《赤壁赋》）,（1）哀鸣；（2）哀叹；（3）声音凄清尖利地；（4）同情；（5）为……悲哀,（5）为……悲哀
4,哀,（3）声音凄清尖利地,杜鹃啼血猿哀鸣（《琵琶行并序》）,（1）哀鸣；（2）哀叹；（3）声音凄清尖利地；（4）同情；（5）为……悲哀,（1）爱护
5,哀,（4）同情,长太息以掩涕兮，哀民生之多艰（《离骚（节选）》）,（1）哀鸣；（2）哀叹；（3）声音凄清尖利地；（4）同情；（5）为……悲哀,（1）爱护
6,哀,（5）为……悲哀,秦人不暇自哀，而后人哀之（《阿房宫赋》）,（1）哀鸣；（2）哀叹；（3）声音凄清尖利地；（4）同情；（5）为……悲哀,（1）爱护
7,哀,（5）为……悲哀,亦使后人而复哀后人也（《阿房宫赋》）,（1）哀鸣；（2）哀叹；（3）声音凄清尖利地；（4）同情；（5）为……悲哀,（1）爱护
8,爱,（1）爱护,爱其子，择师而教之；于其身也，则耻师焉，惑矣（《师说》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（1）爱护
9,爱,（1）爱护,苟有能反是者，则又爱之太恩，忧之太勤（《种树郭橐驼传》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（1）爱护
10,爱,（1）爱护,虽曰爱之，其实害之（《种树郭橐驼传》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（1）爱护
11,爱,（1）爱护,察此何自起？皆起不相爱（《兼爱》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（2）爱恋
12,爱,（1）爱护,盗爱其室，不爱异室，故窃异室以利其室（《兼爱》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（2）爱恋
13,爱,（1）爱护,父自爱也，不爱子，故亏子而自利（《兼爱》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（2）爱恋
14,爱,（1）爱护,故圣人以治天下为事者，恶得不禁恶而劝爱（《兼爱》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（3）爱惜
15,爱,（1）爱护,若使天下兼相爱，爱人若爱其身，犹有不孝者乎（《兼爱》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（3）爱惜
16,爱,（1）爱护,此四君者，皆明智而忠信，宽厚而爱人（《过秦论》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（4）吝啬，舍不得
17,爱,（1）爱护,上于盆而养之，蟹白栗黄，备极护爱，留待限期，以塞官责（《促织》）,（1）爱护；（2）爱恋；（3）爱惜；（4）吝啬，舍不得；（5）喜爱，喜欢；（6）同“薆”，隐藏,（4）吝啬，舍不得
